header,author,date,place,content,aircraft,traveller_type,seat_type,route,date_flown,recommended,trip_verified,rating,seat_comfort,cabin_staff_service,food_beverages,ground_service,value_for_money,entertainment,cleaned_aircraft
"""a really nice experience""",Couple Leisure,03/03/16,Czech Republic,"So I finally flew with Emirates and apart from one thing it was a really nice experience. You can tell that their planes are young, seats are comfortable and ICE is really good, so many movies and you got nice headphones even in economy. Food on board was good, I liked the taste and was actually full. On my flight from Vienna to Dubai, it took almost 2 hours to serve the food and since it was a 6 hour night flight you want to sleep, however, on my second flight it was better. Price was really good, it was the second cheapest ticket I found. We had long layover in Dubai (on purpose because we wanted to see Dubai) where we were given a meal voucher for Dubai airport for a couple of restaurants which was really nice. I will definetelly fly with them again, already purchased tickets to Bali and plan other destinations this year as well.",Boeing 777-300ER,Couple Leisure,Economy Class,VIE to HKT via DXB,03/03/16,yes,,10.0,5.0,5.0,5.0,5.0,5.0,5.0,Boeing 777-300ER
"""a pleasant experience""",Solo Leisure,03/01/16,Kuwait,"Kuwait to Kuala Lumpur via Dubai with Emirates - a pleasant experience. I was overfed (which is a pro in my opinion), the seats were comfortable, the ICE system was amazing and helped pass the time, and overall the crew were amazing. I would definitely fly Emirates again in the future.",Boeing 777-300ER,Solo Leisure,Economy Class,KWI to KUL via DXB,03/01/16,yes,,8.0,5.0,5.0,5.0,3.0,5.0,5.0,Boeing 777-300ER
"""crew were fairly good""",Solo Leisure,03/01/16,United Kingdom,"Chauffeur pick up worked excellently, and is a really nice touch. The lounge at Birmingham was fairly small but large enough for the number of passengers and with good food and drink. The Birmingham to Dubai leg was on an old 777, and the 777 business product isn't as good as the product on other airlines for this length flight. The seats aren't fully flat nor do they have direct aisle access. As this was also an old plane the in flight entertainment was fairly poor. While the screen was enormous, the resolution was very low and the controls were frustratingly difficult. The cabin crew were fine without being outstandanding as was the food. The lounge at Dubai was very good as we were in a smaller one rather than the main central one. The food and drink offering was very good and I liked that some of the bar was self service. Dubai to Mumbai was on a newer 777 and the entertainment was much better. As this was a short flight through the night there is not too much to say, although the cabin crew were fairly good, they did insist on waking up passengers who had ordered food then clearly changed their mind and fallen asleep (it was 4am). Spending a long time trying to wake them up, not just a quick tap or hello. Arriving in Mumbai was fairly easy with prompt processing on the ground. The chauffeur pick up worked well although could have been better organised at the airport itself as you just had to look around the busy bundle of Emirates chauffeurs trying to find your name. A central person who located your driver would make it much smoother and more professional.",Boeing 777-300,Solo Leisure,Business Class,BHX to BOM via DXB,03/01/16,yes,,6.0,4.0,3.0,3.0,4.0,3.0,3.0,Boeing 777-300ER
"""cabin crew friendly and attentive""",Solo Leisure,03/01/16,United Kingdom,"Mumbai to Gatwick via Dubai with Emirates. Chauffeur pick up and check in/security at Mumbai went smoothly. The lounge is a shared one at Mumbai but nice and the staff excellent. Mumbai to Dubai was on an old 777 but was suitable for this length flight. The seat is comfortable and spacious, and the IFE screen of reasonable resolution and had a good selection. Food was fine. The lounge at Dubai is not a particularly good one in my opinion as it is huge and chaotic and not a particularly nice layout. I appreciate this is only business not first, but still would have preferred less of a corridor feel to it, as well as self service drinks areas dotted about. Dubai to Gatwick leg was excellent. The superior level of the seat is significant and avod is excellent. The cabin crew on this flight were friendly and attentive. The only very minor niggle is that the food and wine service were not coordinated at all, so the wine was served after the meal rather than with it. This was after two glasses of champagne and a gin and tonic though so no real complaint. The big let down was Gatwick airport where we were not offered premium service for immigration. Gatwick is awful at the moment and the queue was enormous. This as well as the ridiculous and terribly organised baggage reclaim (which clearly is not able cope with the A380) let down the whole premium experience of Emirates down.",Boeing 777-200 / A380,Solo Leisure,Business Class,BOM to LGW via DXB,03/01/16,yes,,9.0,5.0,5.0,5.0,3.0,4.0,5.0,Boeing 777 200
"""allocated the wrong seats""",Couple Leisure,03/01/16,Australia,"Sydney to Dubai with Emirates. We were allocated the wrong seats from check-in. Ended sitting next to an inebriated passenger that made the trip the worst. Tried to change the seats before the flight but the ground staff were very rude. On return complained to airline, but not even an apology.  The customer service team is a computer. The only response I got was a computer generated letter. ",A380,Couple Leisure,Economy Class,SYD to DXB,03/01/16,no,,1.0,3.0,3.0,4.0,1.0,1.0,3.0,A380-800
"""could not be bothered""",Family Leisure,02/29/16,Ghana,"Booked to fly from New Delhi to Accra via Dubai in business class with Emirates in Aug 2015 with a layover of 1 hr 20 mins in Dubai. The flight from Delhi took off 30 mins late and then circled Dubai before landing in a remote corner of the airport. We rushed and reached our boarding gate (20 mins before departure) just as the last of the economy passengers were boarding. We were denied boarding on the pretext that we were late at the gate - never mind that there was no one to receive us at the terminal, Emirates flight from Delhi was late and that last few passengers were still boarding right in front of us. Staff at the gate were rude, turned us away and asked us to get our re-routing from the Emirates customer service. With 2 kids who were sleepy and exhausted, we made our way to a long queue at the customer service counter. They routed us to Accra via Abuja and on my husbands persistent query assured us that Abuja had transit facilities. The situation in Abuja was far from this - no transit, we were made to collect our bags by paying for passenger trolleys, re-check in at Arik Air and fight customs / immigration who insisted on stamping our passports. The Arik Air flight was delayed, there was no business class lounge at the airport and the flight itself was a small propeller aircraft. We were happy to reach Accra in one piece after the harrowing experience. On registering a complaint with Emirates we were advised that they would investigate and needed 30 days - at the end of this period they came back with no admittance of guilt but offered us 15,000 frequent flyer points each which to date they have not credited to my children's account. Contrast this with our recent experience on Eithopian where we were transported from the tarmac when they were late on a flight from ACC to NBO and even connected our bags. Did not expect Emirates to treat business class passengers in this manner. They clearly are now such a big airline that they could not be bothered by these exceptions - imagine how they treat non-gold, economy class travelers - am glad to see other airlines now catching up with them.",A330,Family Leisure,Business Class,DEL to ACC via DXB,02/29/16,no,,3.0,3.0,3.0,,1.0,2.0,,A330
"""seat comfort was good""",Family Leisure,02/29/16,United States,"Dallas to Dubai with Emirates - amazing airline. A380 with good service, tasty food. The seat comfort was good. The cabin crew are friendly, entertainment had some good games and the latest movies to watch. The personal video screen size was good. Every 4 hours they serve a meal or snack. You can also get get free drinks any time in the flight. Every 1 hour they come along with some juice and some refreshments. Ground service was nice, little busy but overall good.",A380,Family Leisure,Economy Class,DFW to DXB,02/29/16,yes,,10.0,4.0,5.0,5.0,5.0,5.0,5.0,A380-800
"""not hesitate to fly again""",Couple Leisure,02/26/16,United Kingdom,We were very pleased in all respects with Emirates. The check in both in Gatwick and Dubai was swift and efficient. On board the seating was fine with plenty of leg room and the meals served were tasty. The best aspect is the in flight entertainment system which has a huge variety of films and TV and large screens to make viewing a pleasure and cameras on the plane so you can watch the take off and landing from the pilot's view. I even read my emails using on-board wifi. It's a million miles away from British Airways! I would not hesitate to fly with Emirates again.,A380,Couple Leisure,Economy Class,LGW to DXB,02/26/16,yes,,9.0,4.0,4.0,4.0,4.0,5.0,5.0,A380-800
"""learn some patience""",Family Leisure,02/26/16,United States,"Mumbai to Dubai and Emirates staff was very considerate. I was travelling with a active toddler. Dubai to San Francisco and the air hostess are least bothered. Not a sight of smile while welcoming. Young kids needs milk, is it not obvious or let parents carry them. Irony is they ran out of milk when asked for second time. In a 15 hour flight is it not reasonable for a parent to ask another serving of milk for toddler. I guess cabin crew staff needs to be trained to handle young kids and learn some patience instead of making faces. This is annoying for passengers.",A380,Family Leisure,Economy Class,BOM to SFO via DXB,02/26/16,no,,4.0,2.0,1.0,1.0,3.0,2.0,3.0,A380-800
"""make a mess of things""",Solo Leisure,02/25/16,United States,"From the moment I checked in, Emirates managed to make a mess of things. I asked the agent at the check in counter if I could use the lounge with my One World emerald status (Platinum with Qatar Airways), given that QF and EK code share the flight I was checking in for. She took my card then mistakenly entered the membership number with QF instead of QR. I didn't notice her error until I arrived at the QF lounge and was promptly denied entry. EK also switched my seat without informing me. When I asked about it at the gate, I was told that there was a note in the record that my seat had been changed in order to allow a family to sit together. That is fine, but EK could have at least had the courtesy to inform me at check in. Onboard, FAs did the minimum. I asked for a bandage for a small cut on my finger which the FA completely forgot about. The best was when I asked for ketchup to accompany my breakfast of hash browns and a frittata - exactly the sort of dishes one would eat with ketchup. I was informed that ketchup is only available in business and first class. What? Is ketchup the new Dom Perignon? Give me a break. Requests with the call button went ignored. Last time I flew with EK was in business class from NBO-KWI via DXB. I didn't find it to be a very good experience. The final kicker is they broke a wheel of my dependable and well constructed roll on bag. ",A380-800,Solo Leisure,Economy Class,BNE to AKL,02/25/16,no,,2.0,2.0,1.0,2.0,1.0,2.0,2.0,A380-800
"""seat that doesn't recline""",Couple Leisure,02/22/16,United States,"My husband and I enjoyed our outbound Emirates flight from San Francisco to Dubai to Bangalore. No problems there. However, on our way back I was given a seat that doesn't recline (Dubai to San Francisco) and for a 15 hour flight, my back was toast. I have a bad back.  I mentioned it to the stewardess and she tried to fix/push the button for the recliner, to no avail. She however tried to put me in another vacant seat, but I declined because I don't want to leave my husband by himself.",A380,Couple Leisure,Economy Class,BLR to SFO via DXB,02/22/16,yes,,7.0,1.0,5.0,5.0,5.0,5.0,5.0,A380-800
"""she could not serve me""",Family Leisure,02/22/16,Germany,"Hamburg to Bangkok via Dubai. Different service experiences. Flight HAM-DXB (EK 60) was on time, First was fully booked. Very good service by 2 attentive FA's and the purser. Wines were outstanding, 40 year old Port, excellent Cognac. Emirates First class food is a bit boring compared to Singapore Airlines and others where you can book your main course in advance. The second leg (EK 384 with A380) was a bad experience. Before take off in DXB I ordered my shower to have it 1.5hrs before landing. I was woken up very rudely by a female FA (she knocked loud on the door of my suite - on all flights before the FA's opened the door and woke up smoothly) and led me to the shower room. Normally in the meantime the FA's clean the suite and change the bed into a seat. When I came back after 20 minutes, nothing had happened, so I called the FA. Unwillingly she did their job and went away. Normally after having the shower the passenger were asked for their breakfast order. My FA was chatting with another pax and when some minutes later I called her and asked for breakfast she looked at her watch and told me, that in about 10 to 15 minutes we would start the descent and she could not serve me. I now asked for the purser and a little later I got my breakfast. The purser later came to me and apologized and told me, that he is not very happy that Emirates needs so much new staff and that today after too short a time FA's can serve in First Class. For me Emirates offers outstanding liquor and wines, the suites and showers are wonderful but it is a lucky draw, what kind of service you can expect in First class. They are growing too fast.",Boeing 777-300ER / A380,Family Leisure,First Class,HAM to BKK via DXB,02/22/16,yes,,7.0,5.0,3.0,5.0,5.0,3.0,5.0,Boeing 777-300ER
"""my airline of choice""",Solo Leisure,02/20/16,Thailand,"I easily redeemed my Emirates skywards points on the their website for a 2.5 hour return ticket from Bangkok - Hong Kong. I travelled on a brand new A380 with terrific new TV screens and new headphones with great sound. The screens are so large that the shape of the seats need to be angled to accomodate them. Check in, seat comfort, ICE entertainment, crew service and food was perfect - definately my airline of choice.",A380,Solo Leisure,Economy Class,BKK to HKG,02/20/16,yes,,10.0,5.0,5.0,5.0,5.0,5.0,5.0,A380-800
"""food fantastic""",Solo Leisure,02/20/16,Germany,"Very pleasant Flight Auckland to Munich via Dubai with Emirates, Cabin Crew was friendly and the food fantastic. Every one of my 5 Flights was on time and the aircraft was not too crowded. The plane was clean and the Inflight entertainment has good a very good and wide selection of movies. All in all I would definitly fly again with them.",A380,Solo Leisure,Economy Class,AKL to MUC via DXB,02/20/16,yes,,9.0,4.0,5.0,5.0,5.0,5.0,5.0,A380-800
"""not the expected experience""",Couple Leisure,02/18/16,United Kingdom,"Manchester to Dubai return, and I was looking forward to my first flights with Emirates. On the way out from Manchester they switched the seats I booked 3 months ago - they gave me various reasons like different aircraft - not true - and eventually they moved me nearer to the seats I had booked - why was someone else sitting in the seats I had booked? In an 8 hour flight we had one drinks service and one meal - not enough. On the flight back they switched the seats I booked 3 months earlier - sounds familiar - same excuses - again not true - after stamping my feet they gave me the seats I had already booked. Meals were great but far between, drinks were almost non existent. Not the experience I was expecting. Good legroom, good food, excellent entertainment, but poor service. Living off their reputation I think.",A380,Couple Leisure,Economy Class,MAN to DXB,02/18/16,yes,,5.0,4.0,3.0,3.0,4.0,3.0,5.0,A380-800
"""cabin crew attentive throughout""",Solo Leisure,02/16/16,Kuwait,I was flying Emirates back to Kuwait in Economy Class from Mumbai post minor surgery. There was a long queue at the online check-in counter and therefore approached the Duty Manager to facilitate expedited check-in for medical reasons. I was almost immediately guided to the Business Class counter and was through in minutes. Boarding was smooth and almost on time. Aircrafts (B777) throughout the itinerary looked tired with none having Wide Screen IFE. On Board services were good with cabin crew attentive throughout the flight. Fare was possibly the lowest in spite of last minute booking. Great value for money. Quality and services can be attributed comprehensively on request or when having an issue. Will continue to fly with Emirates as I have been for the past decade or so especially considering the courtesy extended at check-in.,Boeing 777,Solo Leisure,Economy Class,BOM to KWI via DXB,02/16/16,yes,,9.0,4.0,5.0,4.0,5.0,5.0,4.0,Boeing 777-300ER
"""good unobtrusive service""",Couple Leisure,02/15/16,United Kingdom,"Flew Dubai to Bangkok with Emirates. Second part of a long flight, seated in front cabin of economy class. Good unobtrusive service which helped the cabin stay quiet. Offered cold drinks several times and food was good. Cabin was full and space was at a premium especially in luggage bins, this may be due to people bring on two or three bags. Good entertainment on ICE service. Toilets freshened during the flight.",A380,Couple Leisure,Economy Class,DXB to BKK,02/15/16,yes,,8.0,3.0,5.0,5.0,4.0,5.0,5.0,A380-800
"""very good service""",Couple Leisure,02/15/16,United Kingdom,Madrid to Dubai with Emirates. Sat in front cabin of economy row 42. One problem of this row is that because of the curve of the plane the overhead luggage compartment is smaller and normal wheeled cabin bags do not fit in them so bags have to be put further back. Reasonable leg room and very good service from stewards. As the flight was not full we were advised to go to the rear of the plane as there was lots of space there. Excellent selection of entertainment to enjoy. The front cabin is quiet. Ordered special meals and these were delivered promptly and were very good.,A380,Couple Leisure,Economy Class,MAD to DXB,02/15/16,yes,,8.0,4.0,5.0,5.0,4.0,5.0,5.0,A380-800
"""such a nightmare""",Family Leisure,02/15/16,Australia,"In December last year I flew Business Class with Emirates from Brisbane to London with my daughter, her husband and three children - a three year old and twelve month old twins. I knew this was not going to be easy, but in my worst imaginings I hadn't dreamt it would be such a nightmare. Let me apologise to our fellow passengers if they suffered on our account. The babies were booked on bassinet seats with their parents, but were too big to be able to use them. I was a few rows back with the 3 year old, but shared baby duties through the night. Right from before take-off, I could see we were not welcome. As the attendant near me gave the safety demonstration, one of our babies whimpered a little. She rolled her eyes and groaned at the prospect of the voyage ahead. Even with the comfort of lie-down seats, it was very difficult to keep the little ones asleep. So we would take them to the bar area so they could crawl around a bit without disturbing too many people. On two occasions when I was their with our little twin with cerebral palsy, her fingers were stepped on by the same hostess who had made us feel so unwelcome. Towards the end of the long flight to Dubai, we were all exhausted, but not once was there any offer of relief or assistance from the attendants who were standing around chatting amongst themselves. The seventy-two year old granny must have looked a fright as I walked in circles trying to lull the baby off to sleep! Believe it or not, the next leg of the journey was worse, as the seats I was in with the three year old would not recline. On two occasions I sought help. The attendant said she would 'reset' the equipment. This meant the video system also went off for 15 minutes, much to the distress of my little autistic grandson! I didn't see this attendant again. His seat did recline after this, but mine still did not! I tried again - different attendant - same story! I was forced to sit bolt upright all the way. Having outlaid almost $10,000 for Business Class, I was not happy! I would probably have been more comfortable in Economy! I would have thought that an Airline that advertises a high quality experience should be able to do better. They would have known our party was coming on board. One would have thought that for the sake of the other passengers the staff might have offered to help. Emirates always boast about how many different countries the attendants come from. Perhaps they would do better to choose staff with a bit more empathy towards their passengers instead!",A380,Family Leisure,Business Class,BNE to LHR via DXB,02/15/16,no,,1.0,1.0,1.0,2.0,1.0,1.0,1.0,A380-800
"""food came without drinks""",Business,02/04/16,Germany,"Munich to Perth via Dubai with Emirates. Slow and bad Business Class Service. The first drink on MUC-DXB and DXB-PER took ages. Don't ask for a refill - you won't get if because the cabin crew is not able and/or not willing to cope with extra requests. Particularly bad was the meal service on the DXB-PER leg. Food came without any drinks - not even water. When I used the call button a flight attendant showed up after a while and took my order. However, the order never arrived. She came back after - believe it or not - about 30 minutes and explained that thy have not been able to serve my order because ""they were busy with serving the food"". This is ridiculous given the fact that they have a large number of flight attendants in Business Class. Emirates might have a young fleet of aircraft, but their in-flight processes are a disaster and they have no service attitude. They are entirely inefficient. I can only recommend to use the Asian carriers or maybe Qatar Airways when you fly between Europe and Australia.",A380,Business,Business Class,MUC to PER via DXB,02/04/16,no,,2.0,4.0,1.0,2.0,2.0,3.0,3.0,A380-800
"""a very uncomfortable flight""",Couple Leisure,02/04/16,Spain,"We flew Emirates from Madrid to Dubai and we were shocked that the 777-300 was configured 3-4-3 on this aircraft and not the standard 3-3-3 as usually found on other airlines who operate the type, this, along with extrememly tight seat pitch made for a very uncomfortable flight. Ground service was good, no delays, no baggage problems and the IFE is excellent. Cabin crew seemed scattered and uncoordinated, the men do the donkey work whilst most of the girls seem to have been chosen for their looks rather than their ability to do the job. Dinner was served over two hours into the flight, ie, almost midnight, reasonable grilled chicken and bean salad starter followed by a choice of roast chicken or ragout of lamb. By the time they got to us they'd run out of the lamb, hardly surprising, so we got chicken for our main course too: dry as a bone, served with some sloppy veg. Breakfast wasn't offered, not even juice, just a choice of coffee or tea. One drinks service before dinner. A huge disappointment after all the hype we'd heard about Emirates. We'll see how next week's return flight goes.",Boeing 777-300,Couple Leisure,Economy Class,MAD to DXB,02/04/16,no,,3.0,1.0,2.0,1.0,4.0,2.0,5.0,Boeing 777-300ER
"""continue to avoid Emirates""",Business,01/31/16,United Kingdom,"Bangkok to Sydney with Emirates. The check in was good. Lounge was okay if very full, and the absence of flight boards was inexplicable in an airline-dedicated lounge. The food and drink adequate/above average for a small lounge. Boarding was prompt but only because I ignored the staff in the lounge and headed to the gate before the flight was called. I was amongst the first into the cabin but the rest of the Business passengers in the long missed priority boarding, which would have been inconvenient as within a few minutes the economy passengers were queuing through Business. Onboard the Business cabin felt cramped. The 2-3-2 configuration left little room for manoeuvre. There is no sense of privacy and aisle access is poor for many. The overhead locker over my seat was full of spare towels so I had to use another. Virtually no storage space around the seat other than a hole for shoes that was too small to take both of my (average sized) shoes and a front pocket on the back of the seat in front. IFE selection was adequate. Screen was large but situated in the back of the seat in front so the touch screen capability was redundant as it was well out of reach. Oddly there is no feature which stops it being seen from any angle, so in a D seat such as mine I could easily see 7 or 8 other screens. Not great if you have young children as they will perhaps see things you would prefer them not to. Also not great if the person beside you is watching the same movie as you - but has started it earlier. Complicated mini touch screen and separate controller system were not intuitive. I found the seat uncomfortable. Poorly situated armrests were at different levels and the internal one was too small. Very limited position options. The seat does not go fully flat nor to 180 degrees and when lying down I could not stretch out fully - and I am 175cm/5ft 9 inches tall. For me the key issue is the seat and so on this aspect alone I would not normally fly Emirates. The power port is recessed so that it cannot take an iPad or MacBook charger as there is insufficient room. Service was slow, an hour and 15 minutes after takeoff no drinks had been served, this on an overnight flight of 9 hours scheduled duration. Food arrived almost 2 hours after takeoff. It was OK but no more than that. The table is a good size and presentation was good. Service generally was not great. I asked for a second drink and it did not arrive after 10 minutes. Similarly I asked for earplugs from a different attendant which again did not arrive. The complimentary Bulgari washbag is large but contains unnecessary items such as large aftershave bottles - but no earplugs! There were only two toilets for 42 passengers. Definitely insufficient, it only took one person to be 5 mins plus for a long queue to build. The flight attendant apologized and told me that it was always like that. Flight arrived on time. Summary. The product feels like it is at least 10 years out of date. The main issue is the seat and configuration. Well below a Cathay, Qantas, Singapore, JAL or even BA. I understand that the A380 fitout may be better but I'll continue to avoid Emirates.",Boeing 777,Business,Business Class,BKK to SYD,01/31/16,no,,5.0,1.0,2.0,3.0,3.0,3.0,3.0,Boeing 777-300ER
"""cabin staff was great""",Family Leisure,01/29/16,Australia,"Copenhagen to Perth via Dubai with Emirates. The seat comfort on business class A380 was astounding. The seats on the CPH to DXB flight were more modern than Dubai to Perth, but both were just as comfortable. There was no Emirates lounge in Copenhagen, an Aviators lounge which was pretty good. The cabin staff was great on both flights, as was the food. The inflight entertainment was not lagging at all. 
",A380,Family Leisure,Business Class,CPH to PER via DXB,01/29/16,yes,,10.0,5.0,5.0,5.0,5.0,5.0,5.0,A380-800
"""excellent value for money""",Solo Leisure,01/28/16,United Kingdom,"Experienced a very smooth journey with Emirates from Auckland to London via Brisbane and Dubai. Staff were friendly and on point with customer service, excellent value for money. Entertainment range was very good. Long layover arrangements were very good. I would recommend it to anyone looking at doing a long journey. However, the only thing I couldn't make the most of was the cabin Wi-Fi because it was too slow.",A380-800,Solo Leisure,Economy Class,AKL to LHR via BNE & DXB,01/28/16,yes,,9.0,4.0,4.0,4.0,4.0,5.0,5.0,A380-800
"""below average experience""",Business,01/28/16,Australia,"Emirates have gone backwards. Accra to Dubai leg was in a Boeing 777-300er, one flight attendant had a rude attitude whilst the other was great. Unfortunately the rude one was in our cabin. The 777 business class seats are outdated and other airlines have much better seating. Food and service was below average. Dubai to Sydney in an A380, crew were friendly but could not seem to get it together. I was travelling with a partner and food only came to one of us and not together, every single time my food orders were incorrect. Meals are getting smaller and are the same on other routes. Meals were served and wines were poured after meals ended. Comfort wise I was able to get some sleep in the A380 seats. Overall a below average experience with Emirates.",Boeing 777-300ER / A380,Business,Business Class,ACC to dxb via SYD,01/28/16,no,,3.0,2.0,1.0,1.0,3.0,1.0,5.0,Boeing 777-300ER
"""service was outstanding""",Solo Leisure,01/28/16,Germany,"Emirates once more offered a fantastic product, to bring me from Dubai to Frankfurt. The experience started with this unique Emirates chauffeur-Service, dropping me off at Dubai airport, just some steps away from a smooth check-in. Security and passport-control were easy and the lounge outstanding. It is huge, more like a First Class Terminal. It is important to keep in mind, that the airport is quite big, it took 15 minutes to walk from Check-in to the lounge and 15 minutes from the lounge to the gate. Boarding was well organized and efficient. This time, there was no airbridge to the upper deck, but this was not a problem, as the A380 was not fully booked. Priority boarding made it easy to get on the aircraft. Service was outstanding and the crew great, cheerful and friendly. Even when you did not have a meal at the lounge, it is nearly impossible to taste all the delices of the menu. Meal service is on demand, whenever you want it. Comfort is excellent, not only because of the shower and the seat/bed. This aircraft is so quiet! Onboard Wifi worked well during 2/3 of the flight, 500 MB for 1 USD is a fair deal. At Frankfurt, priority delivery of luggage (own belt for First an Business) worked well and with a waiting chauffeur-service, the way home was as easy as it could get. The not really cheap price was nevertheless more than ok for a high-end travel-experience with this unique bling-bling-feeling.",A380,Solo Leisure,First Class,DXB to FRA,01/28/16,yes,,10.0,5.0,5.0,5.0,5.0,5.0,5.0,A380-800
"""seats looked comfortable enough""",Couple Leisure,01/27/16,Australia,"Melbourne to Auckland with Emirates. 30-45 minutes late in takeoff, they said it was due to cleaners, anyway eventually we were allowed to board. The plane was nice, the seats looked comfortable enough and it was certainly clean. The FA's however were conspicuous in their absence. Once boarded, we didn't see them again till we were served a meal. About an hour or so before we landed I asked one FA about landing cards to fill in. She said they had run out of them as they ""never give us enough"" and we would probably have to fill in once we landed however to her credit she called around and found a pile more. Not sure why this wasn't done when they had run out earlier? Anyway that was sorted. They also asked for coin donations to a children's fund, so we had our coins ready but no one came for them. Just odd. The PE was quite good though but as for service, I'd say below par compared to most airlines I have flown.",A380,Couple Leisure,Economy Class,MEL to AKL,01/27/16,yes,,7.0,4.0,2.0,2.0,4.0,3.0,5.0,A380-800
"""seats are a disappointment""",Couple Leisure,01/27/16,Australia,"Sydney to Dublin via Dubai, and Emirates have an average to good business class product. Flew both legs on 777 with only issue being the seats are angled lie flat which was a disappointment. Food was good with large portions on both legs, good selection of wines and spirits. Excellent AVOD with the largest selection of movies I have seen on an airline. Staff on both legs were both professional and friendly. ",Boeing 777-300ER,Couple Leisure,Business Class,SYD to DUB via DXB,01/27/16,yes,,7.0,3.0,4.0,3.0,2.0,4.0,5.0,Boeing 777-300ER
"""there are alternatives""",Solo Leisure,01/25/16,Zambia,"Lusaka to Amsterdam via Dubai, the Emirates A340-300 was full and seats pretty cramped. IFE the old type and with the seat of the passenger reclined almost all the way it was not possible to get a good view of the screen. There was no wifi on this flight. The cabin crew seemed disinterested and more busy with themselves than with their passengers. Two crew doing the meal serving were gossiping about a colleague apparently oblivious to the fact that at least 20 pax around them where hearing this. Furthermore an extra order of something that was not on a drinks trolley was acknowledged, but never arrived. Emirates was a great airline with fantastic service but they now need to realize that on the stretch LUN / HRE to Europe there are alternatives.",A340-300,Solo Leisure,Economy Class,LUN to AMS via DXB,01/25/16,no,,5.0,2.0,1.0,4.0,4.0,3.0,3.0,A340 300
"""attendants cooperative""",Family Leisure,01/24/16,Saudi Arabia,"Karachi to Dammam via Dubai with Emirates, and clean aircraft on both legs. Flight attendants cooperative and active. Food was served on the first leg but had only one option. Second leg was delayed due to operational reasons for 30mins, but was advised at DXB. We have 2 hours to kill at DXB. There is a play area at concourse B opposite to patisserie shop which was nice addition in our layover to get my daughter charged up again for the next leg.",Boeing 777-200 / 777-300,Family Leisure,Economy Class,KHI to DMM via DXB,01/24/16,yes,,7.0,4.0,4.0,3.0,3.0,4.0,4.0,Boeing 777 200
"""attitude of cabin crew""",Family Leisure,01/23/16,Canada,"Toronto to Dubai, and I always fly on Emirates and everything is great except the attitude of cabin crew. I have a 4 year old and we book his meal in advance - on this very last flight, my food was served and his was nowhere to be found. I talked to three different cabin staff until one finally brought the tray for him! The crew looks at you and says yes, but then they disappear so you have to ask another crew member - and if you are lucky, the third or the fourth one will finally get you what you want! It's such a shame that inflight service is mirroring so bad on the airline. Yes the flights are long and you get tired but you know this when you apply for this job. I enjoy the IFE, food is ok, seats are fine, planes are safe but my only complain is the Cabin Staff attitude and the way they treat the passengers! I hope someone from Emirates looks into this issue!",A380,Family Leisure,Economy Class,YYZ to DXB,01/23/16,yes,,8.0,4.0,1.0,3.0,3.0,4.0,5.0,A380-800
"""an okay experience""",Solo Leisure,01/22/16,United Kingdom,"Gatwick to Hong Kong via Dubai on Emirates. Check in and boarding at Gatwick smooth and departed on time. My pre booked seat was changed to accommodate a family but my reassigned seat was still an aisle which was my preference. The drink trolley took a long time to come around and was followed by the food trolley. Meal was braised beef which was OK, but only lukewarm. The entertinment was OK but headphone socket was dodgy so only had sound in one ear. Landed on time in Dubai but the queues for security were horrendous. Easy transfer to A terminal and the flight on a newer A380 took off about 30 minutes late. Again, trolley service was vey slow and cabin crew seemed to do a poor job. As this was a 3am departure only a sandwich and drink was served before the lights went out. Prior to landing in Hong Kong a hot breakfast was served which was OK. Scrambled egg, baked beans, spinach, veg hash brown. Immigration at HKG took forever then had to wait ages for bags to be delivered to the carousel. All in all, an okay experience but the crew need to sort out the trolley service a bit.",A380,Solo Leisure,Economy Class,LGW to HKG via DXB,01/22/16,yes,,8.0,4.0,3.0,4.0,5.0,5.0,4.0,A380-800
"""I am very impressed""",Solo Leisure,01/21/16,United Kingdom,"Kuala Lumpur to Heathrow via Dubai, and returning from London Gatwick through Dubai with Emirates, in economy. I am very impressed with the experience on each flight I took. There were no major delays to speak of, the food was actually very good (minus the strange fishy starters), drinks were plentiful and they had a great database of entertainment. The tail mounted cameras are a fantastic feature and the wifi worked well - but only on 2 of the flights. The crew couldn't do enough to help, they were friendly and helpful it was refreshing compared to some airlines I have been on. One downside I found on all flights was that it took over an hour for the FAs to get the drinks trollies and begin service. Each time they started serving from the front of the cabin, which for me was fine as I was at the front - while the people in the back looked on longingly. The check-in staff at Gatwick were really miserable. Other than that, everything was perfect. The first of four legs was on the Boeing 777-300ER with 10 abreast seating. Yes the aisles are a little narrow but as there was nobody next to me it wasn't a problem. I'm 5'11 and 70kg - sat in the aisle seat and wasn't hit very often. Maybe a larger person may feel more uncomfortable, especially if the middle seat were occupied. The other 3 legs on the A380 were better. The seats were roomy and spacious, and on the DXB - KUL route the plane was 10 days old. The flight was empty and there were only about 12 people in a cabin of 120(ish) seats so the crew and I spent half the flight talking as there was little for them to do. 68A was a great seat as it has nobody in front. Overall, very pleased with how well everything went! I look forward to flying with Emirates again very soon.",Boeing 777-300ER / A380,Solo Leisure,Economy Class,KUL to LHR via DXB,01/21/16,yes,,9.0,4.0,5.0,4.0,4.0,5.0,5.0,Boeing 777-300ER
